date,year,international,total_pass,xx
2017-01-15,2017,National,263347,2021-01-15
2017-01-21,2017,National,249050,2021-01-21
2017-01-22,2017,National,259011,2021-01-22
2017-01-28,2017,National,236468,2021-01-28
2017-01-29,2017,National,250147,2021-01-29
2017-01-14,2017,National,253361,2021-01-14
2017-01-08,2017,National,263379,2021-01-08
2017-01-04,2017,National,288962,2021-01-04
2017-01-05,2017,National,286833,2021-01-05
2017-01-06,2017,National,289723,2021-01-06
2017-01-09,2017,National,303622,2021-01-09
2017-01-10,2017,National,291656,2021-01-10
2017-01-11,2017,National,283271,2021-01-11
2017-01-20,2017,National,301590,2021-01-20
2017-01-23,2017,National,308624,2021-01-23
2017-01-24,2017,National,283689,2021-01-24
2017-01-25,2017,National,269873,2021-01-25
2017-01-26,2017,National,281620,2021-01-26
2017-01-07,2017,National,249428,2021-01-07
2017-01-12,2017,National,296208,2021-01-12
2017-01-13,2017,National,301875,2021-01-13
2017-01-16,2017,National,309415,2021-01-16
2017-01-17,2017,National,296974,2021-01-17
2017-01-18,2017,National,289573,2021-01-18
2017-01-19,2017,National,296510,2021-01-19
2017-01-27,2017,National,294176,2021-01-27
2017-01-30,2017,National,291676,2021-01-30
2017-01-31,2017,National,273773,2021-01-31
2017-01-02,2017,National,304273,2021-01-02
2017-01-03,2017,National,292132,2021-01-03
2017-01-01,2017,National,204390,2021-01-01
2017-02-01,2017,National,249224,2021-02-01
2017-01-02,2017,International outbound,30938,2021-01-02
2017-01-03,2017,International outbound,32306,2021-01-03
2017-01-04,2017,International outbound,30985,2021-01-04
2017-01-05,2017,International outbound,31133,2021-01-05
2017-01-06,2017,International outbound,32238,2021-01-06
2017-01-07,2017,International outbound,33410,2021-01-07
2017-01-08,2017,International outbound,35790,2021-01-08
2017-01-09,2017,International outbound,32382,2021-01-09
2017-01-10,2017,International outbound,31843,2021-01-10
2017-01-11,2017,International outbound,31451,2021-01-11
2017-01-12,2017,International outbound,31226,2021-01-12
2017-01-13,2017,International outbound,32580,2021-01-13
2017-01-14,2017,International outbound,36164,2021-01-14
2017-01-15,2017,International outbound,35887,2021-01-15
2017-01-16,2017,International outbound,33456,2021-01-16
2017-01-17,2017,International outbound,32349,2021-01-17
2017-01-18,2017,International outbound,29955,2021-01-18
2017-01-19,2017,International outbound,29101,2021-01-19
2017-01-20,2017,International outbound,31193,2021-01-20
2017-01-21,2017,International outbound,34027,2021-01-21
2017-01-22,2017,International outbound,34390,2021-01-22
2017-01-23,2017,International outbound,31151,2021-01-23
2017-01-24,2017,International outbound,28589,2021-01-24
2017-01-25,2017,International outbound,27417,2021-01-25
2017-01-26,2017,International outbound,26527,2021-01-26
2017-01-08,2017,International inbound,35490,2021-01-08
2017-01-27,2017,International outbound,28930,2021-01-27
2017-01-28,2017,International outbound,32070,2021-01-28
2017-01-29,2017,International outbound,31457,2021-01-29
2017-01-30,2017,International outbound,28924,2021-01-30
2017-01-31,2017,International outbound,26075,2021-01-31
2017-02-01,2017,International outbound,26709,2021-02-01
2017-01-01,2017,International inbound,17984,2021-01-01
2017-01-02,2017,International inbound,30901,2021-01-02
2017-01-03,2017,International inbound,30543,2021-01-03
2017-01-04,2017,International inbound,30051,2021-01-04
2017-01-05,2017,International inbound,31584,2021-01-05
2017-01-06,2017,International inbound,32955,2021-01-06
2017-01-07,2017,International inbound,35128,2021-01-07
2017-01-09,2017,International inbound,32196,2021-01-09
2017-01-10,2017,International inbound,30612,2021-01-10
2017-01-11,2017,International inbound,29767,2021-01-11
2017-01-12,2017,International inbound,30781,2021-01-12
2017-01-13,2017,International inbound,31773,2021-01-13
2017-01-14,2017,International inbound,35634,2021-01-14
2017-01-15,2017,International inbound,36326,2021-01-15
2017-01-16,2017,International inbound,33184,2021-01-16
2017-01-17,2017,International inbound,31001,2021-01-17
2017-01-18,2017,International inbound,28414,2021-01-18
2017-01-19,2017,International inbound,31402,2021-01-19
2017-01-20,2017,International inbound,31171,2021-01-20
2017-01-21,2017,International inbound,33482,2021-01-21
2017-01-22,2017,International inbound,34930,2021-01-22
2017-01-23,2017,International inbound,30760,2021-01-23
2017-01-24,2017,International inbound,29883,2021-01-24
2017-01-25,2017,International inbound,27839,2021-01-25
2017-01-26,2017,International inbound,31154,2021-01-26
2017-01-27,2017,International inbound,31584,2021-01-27
2017-01-28,2017,International inbound,36433,2021-01-28
2017-01-29,2017,International inbound,36490,2021-01-29
2017-01-30,2017,International inbound,32295,2021-01-30
2017-01-31,2017,International inbound,30889,2021-01-31
2017-01-01,2017,International outbound,12839,2021-01-01
2017-02-01,2017,International inbound,29641,2021-02-01
2017-02-03,2017,International outbound,29587,2021-02-03
2017-02-02,2017,National,264339,2021-02-02
2017-02-03,2017,National,272495,2021-02-03
2017-02-20,2017,National,258496,2021-02-20
2017-02-21,2017,National,240241,2021-02-21
2017-02-22,2017,National,245547,2021-02-22
2017-02-23,2017,National,274340,2021-02-23
2017-02-24,2017,National,289931,2021-02-24
2017-02-06,2017,National,264438,2021-02-06
2017-02-07,2017,National,246286,2021-02-07
2017-02-08,2017,National,244413,2021-02-08
2017-02-09,2017,National,255005,2021-02-09
2017-02-10,2017,National,274948,2021-02-10
2017-02-17,2017,National,272571,2021-02-17
2017-02-18,2017,National,200049,2021-02-18
2017-02-04,2017,National,213263,2021-02-04
2017-02-13,2017,National,269535,2021-02-13
2017-02-14,2017,National,242497,2021-02-14
2017-02-15,2017,National,244035,2021-02-15
2017-02-16,2017,National,253490,2021-02-16
2017-02-25,2017,National,249135,2021-02-25
2017-02-27,2017,National,164104,2021-02-27
2017-02-28,2017,National,207837,2021-02-28
2017-02-11,2017,National,207642,2021-02-11
2017-02-05,2017,National,229510,2021-02-05
2017-02-12,2017,National,225646,2021-02-12
2017-02-19,2017,National,212924,2021-02-19
2017-02-26,2017,National,159863,2021-02-26
2017-03-01,2017,National,275428,2021-03-01
2017-02-02,2017,International outbound,26426,2021-02-02
2017-02-04,2017,International outbound,31375,2021-02-04
2017-02-05,2017,International outbound,31283,2021-02-05
2017-02-06,2017,International outbound,27484,2021-02-06
2017-02-07,2017,International outbound,25409,2021-02-07
2017-02-08,2017,International outbound,25727,2021-02-08
2017-02-09,2017,International outbound,26710,2021-02-09
2017-02-10,2017,International outbound,28342,2021-02-10
2017-02-11,2017,International outbound,32656,2021-02-11
2017-02-12,2017,International outbound,32787,2021-02-12
2017-02-13,2017,International outbound,28324,2021-02-13
2017-02-14,2017,International outbound,27232,2021-02-14
2017-02-15,2017,International outbound,27829,2021-02-15
2017-02-16,2017,International outbound,27669,2021-02-16
2017-02-17,2017,International outbound,31043,2021-02-17
2017-02-18,2017,International outbound,35041,2021-02-18
2017-02-19,2017,International outbound,32233,2021-02-19
2017-02-20,2017,International outbound,29998,2021-02-20
2017-02-21,2017,International outbound,30740,2021-02-21
2017-02-22,2017,International outbound,31914,2021-02-22
2017-02-23,2017,International outbound,32270,2021-02-23
2017-02-24,2017,International outbound,35184,2021-02-24
2017-02-25,2017,International outbound,37617,2021-02-25
2017-02-26,2017,International outbound,36371,2021-02-26
2017-02-27,2017,International outbound,30514,2021-02-27
2017-02-28,2017,International outbound,30085,2021-02-28
2017-03-01,2017,International outbound,28150,2021-03-01
2017-02-02,2017,International inbound,32448,2021-02-02
2017-02-03,2017,International inbound,31773,2021-02-03
2017-02-04,2017,International inbound,35171,2021-02-04
